,model,knowledge,testName,pass@1,pass@5,pass@10,compile@1,compile@5,compile@10
198,Gemma 3.12B Instruct,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
199,Gemma 3.12B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.85,1.0,1.0
203,Gemma 3.12B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.85,1.0,1.0
204,Gemma 3.12B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
208,Gemma 3.12B Instruct,Basic Knowledge,SCR Temperature Above 30,0.4000,0.9489,0.9996,0.55,0.9918730650154799,1.0
213,Gemma 3.12B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
217,Gemma 3.12B Instruct,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
218,Gemma 3.12B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
216,Gemma 3.12B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
211,Gemma 3.12B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.3500,0.9170,0.9985,0.85,1.0,1.0
212,Gemma 3.12B Instruct,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
209,Gemma 3.12B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
210,Gemma 3.12B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
214,Gemma 3.12B Instruct,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
215,Gemma 3.12B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
219,Gemma 3.12B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.35,0.9169891640866873,0.9984520123839009
257,Gemma 3.27B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.0,0.0,0.0
261,Gemma 3.27B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
262,Gemma 3.27B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
260,Gemma 3.27B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
255,Gemma 3.27B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
256,Gemma 3.27B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
253,Gemma 3.27B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
254,Gemma 3.27B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
258,Gemma 3.27B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
259,Gemma 3.27B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
263,Gemma 3.27B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
235,Gemma 3.27B Instruct,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
239,Gemma 3.27B Instruct,Basic Knowledge,Neighbors Count,0.9500,1.0000,1.0000,0.95,1.0,1.0
240,Gemma 3.27B Instruct,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
238,Gemma 3.27B Instruct,Basic Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
233,Gemma 3.27B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
234,Gemma 3.27B Instruct,Basic Knowledge,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
231,Gemma 3.27B Instruct,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.6,0.9963880288957688,1.0
232,Gemma 3.27B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
236,Gemma 3.27B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.8,1.0,1.0
237,Gemma 3.27B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
241,Gemma 3.27B Instruct,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.7,0.9996130030959752,1.0
246,Gemma 3.27B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
250,Gemma 3.27B Instruct,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
251,Gemma 3.27B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
249,Gemma 3.27B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
244,Gemma 3.27B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.8000,1.0000,1.0000,0.8,1.0,1.0
245,Gemma 3.27B Instruct,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
242,Gemma 3.27B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.2000,0.7183,0.9567,0.19999999999999996,0.7182662538699691,0.956656346749226
243,Gemma 3.27B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
247,Gemma 3.27B Instruct,Knowledge with Building Blocks,Create Channel,0.0500,0.2500,0.5000,0.09999999999999998,0.4473684210526315,0.7631578947368421
248,Gemma 3.27B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
252,Gemma 3.27B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.1000,0.4474,0.7632,0.4,0.9489164086687306,0.9996427720885925
290,Gemma 3.4B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,1.0,1.0,1.0
294,Gemma 3.4B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.35,0.9169891640866873,0.9984520123839009
295,Gemma 3.4B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
293,Gemma 3.4B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
288,Gemma 3.4B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
289,Gemma 3.4B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.85,1.0,1.0
286,Gemma 3.4B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
287,Gemma 3.4B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.44999999999999996,0.9702012383900929,0.9999404620147654
291,Gemma 3.4B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
292,Gemma 3.4B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
296,Gemma 3.4B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
268,Gemma 3.4B Instruct,Basic Knowledge,Count Down,0.8500,1.0000,1.0000,1.0,1.0,1.0
272,Gemma 3.4B Instruct,Basic Knowledge,Neighbors Count,0.0000,0.0000,0.0000,1.0,1.0,1.0
273,Gemma 3.4B Instruct,Basic Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,1.0,1.0,1.0
271,Gemma 3.4B Instruct,Basic Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
266,Gemma 3.4B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
267,Gemma 3.4B Instruct,Basic Knowledge,Collect Max ID,0.6500,0.9986,1.0000,0.95,1.0,1.0
264,Gemma 3.4B Instruct,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.95,1.0,1.0
265,Gemma 3.4B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.8,1.0,1.0
269,Gemma 3.4B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.44999999999999996,0.9702012383900929,0.9999404620147654
270,Gemma 3.4B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
274,Gemma 3.4B Instruct,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
279,Gemma 3.4B Instruct,Knowledge with Building Blocks,Count Down,0.9500,1.0000,1.0000,1.0,1.0,1.0
283,Gemma 3.4B Instruct,Knowledge with Building Blocks,Neighbors Count,0.0000,0.0000,0.0000,1.0,1.0,1.0
284,Gemma 3.4B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,1.0,1.0,1.0
282,Gemma 3.4B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
277,Gemma 3.4B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
278,Gemma 3.4B Instruct,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
275,Gemma 3.4B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.0000,0.0000,0.0000,0.65,0.9986455108359134,1.0
276,Gemma 3.4B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.6,0.9963880288957688,1.0
280,Gemma 3.4B Instruct,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.95,1.0,1.0
281,Gemma 3.4B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.85,1.0,1.0
285,Gemma 3.4B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.35,0.9169891640866873,0.9984520123839009
323,Llama 3.1 405B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
327,Llama 3.1 405B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
328,Llama 3.1 405B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
326,Llama 3.1 405B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
321,Llama 3.1 405B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
322,Llama 3.1 405B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
319,Llama 3.1 405B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
320,Llama 3.1 405B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
324,Llama 3.1 405B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
325,Llama 3.1 405B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
329,Llama 3.1 405B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
301,Llama 3.1 405B Instruct,Basic Knowledge,Count Down,0.8500,1.0000,1.0000,0.9,1.0,1.0
305,Llama 3.1 405B Instruct,Basic Knowledge,Neighbors Count,0.3500,0.9170,0.9985,1.0,1.0,1.0
306,Llama 3.1 405B Instruct,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
304,Llama 3.1 405B Instruct,Basic Knowledge,Gather Neighbors IDs,1.0000,1.0000,1.0000,1.0,1.0,1.0
299,Llama 3.1 405B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.1000,0.4474,0.7632,1.0,1.0,1.0
300,Llama 3.1 405B Instruct,Basic Knowledge,Collect Max ID,0.2500,0.8063,0.9837,0.95,1.0,1.0
297,Llama 3.1 405B Instruct,Basic Knowledge,Calculate Gradient,0.4000,0.9489,0.9996,0.7,0.9996130030959752,1.0
298,Llama 3.1 405B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.55,0.9918730650154799,1.0
302,Llama 3.1 405B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
303,Llama 3.1 405B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
307,Llama 3.1 405B Instruct,Basic Knowledge,SCR Temperature Above 30,0.0500,0.2500,0.5000,0.35,0.9169891640866873,0.9984520123839009
312,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
316,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Neighbors Count,0.5000,0.9837,1.0000,1.0,1.0,1.0
317,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
315,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,1.0000,1.0000,1.0000,1.0,1.0,1.0
310,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.9,1.0,1.0
311,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Collect Max ID,0.5000,0.9837,1.0000,1.0,1.0,1.0
308,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.3500,0.9170,0.9985,0.85,1.0,1.0
309,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
313,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Create Channel,0.0500,0.2500,0.5000,0.30000000000000004,0.8708720330237358,0.9945820433436533
314,Llama 3.1 405B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.1000,0.4474,0.7632,0.15000000000000002,0.6008771929824561,0.8947368421052632
318,Llama 3.1 405B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.1000,0.4474,0.7632,0.4,0.9489164086687306,0.9996427720885925
356,Llama 3.3 70B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
360,Llama 3.3 70B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
361,Llama 3.3 70B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
359,Llama 3.3 70B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
354,Llama 3.3 70B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
355,Llama 3.3 70B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
352,Llama 3.3 70B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
353,Llama 3.3 70B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
357,Llama 3.3 70B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
358,Llama 3.3 70B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
362,Llama 3.3 70B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
334,Llama 3.3 70B Instruct,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
338,Llama 3.3 70B Instruct,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
339,Llama 3.3 70B Instruct,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
337,Llama 3.3 70B Instruct,Basic Knowledge,Gather Neighbors IDs,1.0000,1.0000,1.0000,1.0,1.0,1.0
332,Llama 3.3 70B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.5500,0.9919,1.0000,0.75,0.9999355005159959,1.0
333,Llama 3.3 70B Instruct,Basic Knowledge,Collect Max ID,0.4000,0.9489,0.9996,1.0,1.0,1.0
330,Llama 3.3 70B Instruct,Basic Knowledge,Calculate Gradient,0.1500,0.6009,0.8947,0.6,0.9963880288957688,1.0
331,Llama 3.3 70B Instruct,Basic Knowledge,Calculate Gradient (Obstacles),0.0500,0.2500,0.5000,0.75,0.9999355005159959,1.0
335,Llama 3.3 70B Instruct,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
336,Llama 3.3 70B Instruct,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
340,Llama 3.3 70B Instruct,Basic Knowledge,SCR Temperature Above 30,0.1500,0.6009,0.8947,0.95,1.0,1.0
345,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
349,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
350,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
348,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Gather Neighbors IDs,0.9500,1.0000,1.0000,0.95,1.0,1.0
343,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
344,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Collect Max ID,0.4000,0.9489,0.9996,0.85,1.0,1.0
341,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Calculate Gradient,0.4500,0.9702,0.9999,0.85,1.0,1.0
342,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
346,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
347,Llama 3.3 70B Instruct,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
351,Llama 3.3 70B Instruct,Knowledge with Building Blocks,SCR Temperature Above 30,0.1000,0.4474,0.7632,0.30000000000000004,0.8708720330237358,0.9945820433436533
389,Llama 4 Maverick,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.0,0.0,0.0
393,Llama 4 Maverick,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
394,Llama 4 Maverick,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
392,Llama 4 Maverick,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
387,Llama 4 Maverick,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
388,Llama 4 Maverick,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
385,Llama 4 Maverick,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
386,Llama 4 Maverick,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
390,Llama 4 Maverick,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
391,Llama 4 Maverick,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
395,Llama 4 Maverick,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
367,Llama 4 Maverick,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
371,Llama 4 Maverick,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
372,Llama 4 Maverick,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
370,Llama 4 Maverick,Basic Knowledge,Gather Neighbors IDs,0.9500,1.0000,1.0000,0.95,1.0,1.0
365,Llama 4 Maverick,Basic Knowledge,Calculate Min Distance Neighbors,0.7500,0.9999,1.0000,1.0,1.0,1.0
366,Llama 4 Maverick,Basic Knowledge,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
363,Llama 4 Maverick,Basic Knowledge,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
364,Llama 4 Maverick,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,1.0,1.0,1.0
368,Llama 4 Maverick,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
369,Llama 4 Maverick,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
373,Llama 4 Maverick,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
378,Llama 4 Maverick,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
382,Llama 4 Maverick,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
383,Llama 4 Maverick,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
381,Llama 4 Maverick,Knowledge with Building Blocks,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
376,Llama 4 Maverick,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
377,Llama 4 Maverick,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
374,Llama 4 Maverick,Knowledge with Building Blocks,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
375,Llama 4 Maverick,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,1.0,1.0,1.0
379,Llama 4 Maverick,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
380,Llama 4 Maverick,Knowledge with Building Blocks,Create Channel (Obstacles),0.2000,0.7183,0.9567,0.35,0.9169891640866873,0.9984520123839009
384,Llama 4 Maverick,Knowledge with Building Blocks,SCR Temperature Above 30,0.0500,0.2500,0.5000,0.09999999999999998,0.4473684210526315,0.7631578947368421
422,Llama 4 Scout,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.0,0.0,0.0
426,Llama 4 Scout,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
427,Llama 4 Scout,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
425,Llama 4 Scout,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
420,Llama 4 Scout,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
421,Llama 4 Scout,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
418,Llama 4 Scout,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
419,Llama 4 Scout,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
423,Llama 4 Scout,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
424,Llama 4 Scout,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
428,Llama 4 Scout,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
400,Llama 4 Scout,Basic Knowledge,Count Down,0.9000,1.0000,1.0000,1.0,1.0,1.0
404,Llama 4 Scout,Basic Knowledge,Neighbors Count,0.6500,0.9986,1.0000,1.0,1.0,1.0
405,Llama 4 Scout,Basic Knowledge,Neighbors Count Excluding Self,0.9500,1.0000,1.0000,1.0,1.0,1.0
403,Llama 4 Scout,Basic Knowledge,Gather Neighbors IDs,0.4500,0.9702,0.9999,0.44999999999999996,0.9702012383900929,0.9999404620147654
398,Llama 4 Scout,Basic Knowledge,Calculate Min Distance Neighbors,0.0500,0.2500,0.5000,1.0,1.0,1.0
399,Llama 4 Scout,Basic Knowledge,Collect Max ID,0.3000,0.8709,0.9946,1.0,1.0,1.0
396,Llama 4 Scout,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
397,Llama 4 Scout,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
401,Llama 4 Scout,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
402,Llama 4 Scout,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
406,Llama 4 Scout,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.55,0.9918730650154799,1.0
411,Llama 4 Scout,Knowledge with Building Blocks,Count Down,0.8500,1.0000,1.0000,0.9,1.0,1.0
415,Llama 4 Scout,Knowledge with Building Blocks,Neighbors Count,0.4000,0.9489,0.9996,1.0,1.0,1.0
416,Llama 4 Scout,Knowledge with Building Blocks,Neighbors Count Excluding Self,0.9000,1.0000,1.0000,1.0,1.0,1.0
414,Llama 4 Scout,Knowledge with Building Blocks,Gather Neighbors IDs,0.8000,1.0000,1.0000,0.8,1.0,1.0
409,Llama 4 Scout,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0500,0.2500,0.5000,0.4,0.9489164086687306,0.9996427720885925
410,Llama 4 Scout,Knowledge with Building Blocks,Collect Max ID,0.0000,0.0000,0.0000,1.0,1.0,1.0
407,Llama 4 Scout,Knowledge with Building Blocks,Calculate Gradient,0.0500,0.2500,0.5000,0.6,0.9963880288957688,1.0
408,Llama 4 Scout,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.35,0.9169891640866873,0.9984520123839009
412,Llama 4 Scout,Knowledge with Building Blocks,Create Channel,0.1500,0.6009,0.8947,0.35,0.9169891640866873,0.9984520123839009
